Year,Stage,stage_num,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,home_win,rank_diff,team1_win_rate,team2_win_rate,head_to_head,team1_avg_goals,team2_avg_goals,team1_is_host,coach_exp_diff,team1_conf,team2_conf,team1_conf_strength,team2_conf_strength,conf_strength_diff,team1_recent_form,team2_recent_form,form_diff
1998,Group F,0,USA,Yugoslavia,0,1,0,17,0.2,0.5,0.5,0.6,1.0,0,0,CONCACAF,UEFA,0.38,0.54,-0.16000000000000003,0.65,0.5,0.15000000000000002
1998,Group F,0,Yugoslavia,IR Iran,1,0,1,-21,0.5,0.0,0.5,1.0,0.0,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.5,0.45,0.04999999999999999
1998,Round of 16,2,Brazil,Chile,4,1,1,-15,0.8,0.5,0.5,2.2,1.3781362007168458,0,-1,CONMEBOL,CONMEBOL,0.58,0.58,0.0,0.95,0.5,0.44999999999999996
1998,Group F,0,Germany,USA,2,0,1,-20,0.7142857142857143,0.2,0.5,1.6,0.6,0,0,UEFA,CONCACAF,0.54,0.38,0.16000000000000003,0.85,0.65,0.19999999999999996
1998,Quarter-finals,3,Brazil,Denmark,3,2,1,-18,0.8,0.3333333333333333,0.5,2.2,2.3333333333333335,0,0,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.95,0.8,0.1499999999999999
1998,Group H,0,Japan,Jamaica,1,2,0,-13,0.0,0.5,0.5,0.5,1.5,0,1,AFC,CONCACAF,0.35,0.38,-0.030000000000000027,0.6,0.8,-0.20000000000000007
1998,Group G,0,England,Tunisia,2,0,1,-12,0.5,0.0,0.5,1.5,0.0,0,0,UEFA,CAF,0.54,0.34,0.2,0.85,0.85,0.0
1998,Group G,0,Romania,Colombia,1,0,1,-22,0.8333333333333334,0.4,1.0,1.6,1.0,0,0,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.9,0.45,0.45
1998,Group G,0,Romania,England,2,1,1,3,0.8333333333333334,0.5,0.5,1.6,1.5,0,0,UEFA,UEFA,0.54,0.54,0.0,0.9,0.85,0.050000000000000044
1998,Group H,0,Argentina,Croatia,1,0,1,1,0.7142857142857143,0.6666666666666666,0.5,2.6,2.0,0,-1,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.7,0.6,0.09999999999999998
